epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3346.984375,,,,,
0,,39,,2502.238525390625,,,,,
0,,59,,2292.389892578125,,,,,
0,,79,,2399.236572265625,,,,,
0,,96,,,29629.677734375,2962967756800.0,31084.775390625,2.0,29629.677734375
0,,96,2795.3037109375,,,,,,
,0.000611,97,,,,,,,
1,,99,,2230.369873046875,,,,,
1,,119,,2014.0640869140625,,,,,
1,,139,,2067.903076171875,,,,,
1,,159,,1884.858642578125,,,,,
1,,179,,1988.6470947265625,,,,,
1,,193,,,28653.04296875,2865304174592.0,30074.0625,2.0,28653.04296875
1,,193,1991.00390625,,,,,,
,0.000611,194,,,,,,,
2,,199,,1813.981689453125,,,,,
2,,219,,1934.232177734375,,,,,
2,,239,,1745.8165283203125,,,,,
2,,259,,1792.4404296875,,,,,
2,,279,,1657.7247314453125,,,,,
2,,290,,,28658.203125,2865820336128.0,30135.46484375,2.0,28658.203125
2,,290,1761.6546630859375,,,,,,
,0.000611,291,,,,,,,
3,,299,,1693.049560546875,,,,,
3,,319,,1645.1788330078125,,,,,
3,,339,,1476.8858642578125,,,,,
3,,359,,1464.8433837890625,,,,,
3,,379,,1466.6470947265625,,,,,
3,,387,,,29314.10546875,2931410862080.0,30842.828125,1.9978259801864624,29314.10546875
3,,387,1566.70263671875,,,,,,
,0.000611,388,,,,,,,
4,,399,,1512.2313232421875,,,,,
4,,419,,1467.58251953125,,,,,
4,,439,,1407.0869140625,,,,,
4,,459,,1479.219482421875,,,,,
4,,479,,1439.2548828125,,,,,
4,,484,,,29077.63671875,2907764162560.0,30644.23828125,1.9934784173965454,29077.63671875
4,,484,1447.199462890625,,,,,,
,0.000611,485,,,,,,,
5,,499,,1431.990478515625,,,,,
5,,519,,1435.6053466796875,,,,,
5,,539,,1368.016845703125,,,,,
5,,559,,1355.46533203125,,,,,
5,,579,,1361.927001953125,,,,,
5,,581,,,28937.76953125,2893776945152.0,30491.15234375,1.995652198791504,28937.76953125
5,,581,1371.4053955078125,,,,,,
,0.0003055,582,,,,,,,
6,,599,,1295.387451171875,,,,,
6,,619,,1283.12548828125,,,,,
6,,639,,1311.86962890625,,,,,
6,,659,,1349.0745849609375,,,,,
6,,678,,,29348.05859375,2934805889024.0,30907.72265625,1.995652198791504,29348.05859375
6,,678,1297.017578125,,,,,,
,0.0003055,679,,,,,,,
7,,679,,1281.0228271484375,,,,,
7,,699,,1263.27783203125,,,,,
7,,719,,1257.74609375,,,,,
7,,739,,1203.9947509765625,,,,,
7,,759,,1252.7498779296875,,,,,
7,,775,,,29193.06640625,2919306362880.0,30752.51171875,1.995652198791504,29193.06640625
7,,775,1254.64306640625,,,,,,
,0.0003055,776,,,,,,,
8,,779,,1277.6611328125,,,,,
8,,799,,1208.939208984375,,,,,
8,,819,,1254.689697265625,,,,,
8,,839,,1174.2464599609375,,,,,
8,,859,,1181.1168212890625,,,,,
8,,872,,,29351.412109375,2935141171200.0,30883.255859375,1.995652198791504,29351.412109375
8,,872,1221.146240234375,,,,,,
,0.0003055,873,,,,,,,
9,,879,,1219.9202880859375,,,,,
9,,899,,1186.1533203125,,,,,
9,,919,,1228.2872314453125,,,,,
9,,939,,1192.2061767578125,,,,,
9,,959,,1184.69677734375,,,,,
9,,969,,,29120.35546875,2912036061184.0,30696.494140625,1.995652198791504,29120.35546875
9,,969,1193.05029296875,,,,,,
