epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3346.984375,,,,,
0,,39,,2502.238525390625,,,,,
0,,59,,2292.330810546875,,,,,
0,,79,,2402.721923828125,,,,,
0,,96,,,29917.609375,2991761129472.0,31321.759765625,2.0,29917.609375
0,,96,2795.511962890625,,,,,,
,0.000611,97,,,,,,,
1,,99,,2202.76904296875,,,,,
1,,119,,2018.1990966796875,,,,,
1,,139,,2065.403076171875,,,,,
1,,159,,1899.624267578125,,,,,
1,,179,,1963.78466796875,,,,,
1,,193,,,28321.34765625,2832135094272.0,29716.57421875,2.0,28321.34765625
1,,193,1991.404052734375,,,,,,
,0.000611,194,,,,,,,
2,,199,,1745.868896484375,,,,,
2,,219,,1911.2694091796875,,,,,
2,,239,,1736.2794189453125,,,,,
2,,259,,1758.585205078125,,,,,
2,,279,,1617.8505859375,,,,,
2,,290,,,29367.056640625,2936705384448.0,30856.36328125,2.0,29367.056640625
2,,290,1731.6043701171875,,,,,,
,0.000611,291,,,,,,,
3,,299,,1649.505615234375,,,,,
3,,319,,1610.106201171875,,,,,
3,,339,,1481.72998046875,,,,,
3,,359,,1463.875,,,,,
3,,379,,1476.0869140625,,,,,
3,,387,,,29472.0625,2947206610944.0,31031.88671875,1.995652198791504,29472.0625
3,,387,1556.4437255859375,,,,,,
,0.000611,388,,,,,,,
4,,399,,1520.705810546875,,,,,
4,,419,,1479.0086669921875,,,,,
4,,439,,1425.2520751953125,,,,,
4,,459,,1497.5767822265625,,,,,
4,,479,,1440.572998046875,,,,,
4,,484,,,29420.03125,2942003052544.0,31024.06640625,1.9978259801864624,29420.03125
4,,484,1441.7825927734375,,,,,,
,0.000611,485,,,,,,,
5,,499,,1416.6591796875,,,,,
5,,519,,1419.822509765625,,,,,
5,,539,,1337.688232421875,,,,,
5,,559,,1321.79638671875,,,,,
5,,579,,1335.8389892578125,,,,,
5,,581,,,29433.73828125,2943374065664.0,31012.4375,1.995652198791504,29433.73828125
5,,581,1350.591552734375,,,,,,
,0.0003055,582,,,,,,,
6,,599,,1293.5703125,,,,,
6,,619,,1274.4241943359375,,,,,
6,,639,,1301.108154296875,,,,,
6,,659,,1328.8458251953125,,,,,
6,,678,,,29581.51953125,2958151909376.0,31172.490234375,1.995652198791504,29581.51953125
6,,678,1285.022216796875,,,,,,
,0.0003055,679,,,,,,,
7,,679,,1270.8089599609375,,,,,
7,,699,,1248.7359619140625,,,,,
7,,719,,1243.5662841796875,,,,,
7,,739,,1183.7362060546875,,,,,
7,,759,,1239.5892333984375,,,,,
7,,775,,,29406.146484375,2940614737920.0,30983.6875,1.995652198791504,29406.146484375
7,,775,1240.557861328125,,,,,,
,0.0003055,776,,,,,,,
8,,779,,1263.4354248046875,,,,,
8,,799,,1176.6219482421875,,,,,
8,,819,,1232.6649169921875,,,,,
8,,839,,1199.9957275390625,,,,,
8,,859,,1156.8389892578125,,,,,
8,,872,,,29097.35546875,2909735485440.0,30642.740234375,1.995652198791504,29097.35546875
8,,872,1204.65380859375,,,,,,
,0.0003055,873,,,,,,,
9,,879,,1202.15966796875,,,,,
9,,899,,1167.684814453125,,,,,
9,,919,,1214.405517578125,,,,,
9,,939,,1165.394775390625,,,,,
9,,959,,1160.4163818359375,,,,,
9,,969,,,29188.296875,2918830047232.0,30756.78515625,1.995652198791504,29188.296875
9,,969,1172.06298828125,,,,,,
