epoch,step,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,3732.54345703125,,,,,
0,99,3012.34912109375,,,,,
0,122,,52855.78515625,5285578539008.0,93302.3828125,2.0,52855.78515625
