epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3272.642578125,,,,,
0,,39,,2636.447021484375,,,,,
0,,59,,2308.62646484375,,,,,
0,,79,,2374.37109375,,,,,
0,,99,,2134.94580078125,,,,,
0,,111,,,27939.947265625,2793994715136.0,29397.98828125,2.0,27939.947265625
0,,111,2704.059814453125,,,,,,
,0.000611,112,,,,,,,
1,,119,,2025.1380615234375,,,,,
1,,139,,2032.088623046875,,,,,
1,,159,,2012.0040283203125,,,,,
1,,179,,1922.1015625,,,,,
1,,199,,2048.389892578125,,,,,
1,,219,,1841.4293212890625,,,,,
1,,223,,,28974.06640625,2897406590976.0,30414.44140625,2.0,28974.06640625
1,,223,1996.0289306640625,,,,,,
,0.000611,224,,,,,,,
2,,239,,1740.378173828125,,,,,
2,,259,,1711.981201171875,,,,,
2,,279,,1740.1297607421875,,,,,
2,,299,,1647.8709716796875,,,,,
2,,319,,1677.302001953125,,,,,
2,,335,,,29698.69140625,2969869221888.0,31149.171875,2.0,29698.69140625
2,,335,1730.9134521484375,,,,,,
,0.000611,336,,,,,,,
3,,339,,1565.8182373046875,,,,,
3,,359,,1586.545654296875,,,,,
3,,379,,1672.2978515625,,,,,
3,,399,,1556.524658203125,,,,,
3,,419,,1536.05810546875,,,,,
3,,439,,1552.2481689453125,,,,,
3,,447,,,29196.69140625,2919669170176.0,30752.900390625,2.0,29196.69140625
3,,447,1598.6275634765625,,,,,,
,0.000611,448,,,,,,,
4,,459,,1436.795166015625,,,,,
4,,479,,1543.8082275390625,,,,,
4,,499,,1512.59814453125,,,,,
4,,519,,1405.013916015625,,,,,
4,,539,,1431.4769287109375,,,,,
4,,559,,1413.4144287109375,,,,,
4,,559,,,29302.60546875,2930260574208.0,30876.0,1.9978259801864624,29302.60546875
4,,559,1464.0135498046875,,,,,,
,0.0003055,560,,,,,,,
5,,579,,1404.3421630859375,,,,,
5,,599,,1380.126220703125,,,,,
5,,619,,1288.208984375,,,,,
5,,639,,1348.554443359375,,,,,
5,,659,,1351.5777587890625,,,,,
5,,671,,,29307.681640625,2930768347136.0,30914.943359375,1.9869563579559326,29307.681640625
5,,671,1366.5899658203125,,,,,,
,0.0003055,672,,,,,,,
6,,679,,1336.3253173828125,,,,,
6,,699,,1273.4722900390625,,,,,
6,,719,,1263.526611328125,,,,,
6,,739,,1335.8492431640625,,,,,
6,,759,,1263.243896484375,,,,,
6,,779,,1241.186279296875,,,,,
6,,783,,,29335.28125,2933527937024.0,30917.193359375,1.9847825765609741,29335.28125
6,,783,1305.21875,,,,,,
,0.0003055,784,,,,,,,
7,,799,,1227.3426513671875,,,,,
7,,819,,1208.9031982421875,,,,,
7,,839,,1287.5972900390625,,,,,
7,,859,,1269.80517578125,,,,,
7,,879,,1294.458251953125,,,,,
7,,895,,,29336.224609375,2933622571008.0,30928.802734375,1.9826085567474365,29336.224609375
7,,895,1261.09375,,,,,,
,0.0003055,896,,,,,,,
8,,899,,1209.0294189453125,,,,,
8,,919,,1186.8624267578125,,,,,
8,,939,,1234.8345947265625,,,,,
8,,959,,1232.1656494140625,,,,,
8,,979,,1208.43017578125,,,,,
8,,999,,1210.786376953125,,,,,
8,,1007,,,29172.755859375,2917275533312.0,30784.978515625,1.9847825765609741,29172.755859375
8,,1007,1223.9346923828125,,,,,,
