epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3346.984375,,,,,
0,,39,,2502.23828125,,,,,
0,,59,,2292.426025390625,,,,,
0,,79,,2398.071044921875,,,,,
0,,96,,,28423.62109375,2842362118144.0,29861.927734375,2.0,28423.62109375
0,,96,2805.184814453125,,,,,,
,0.000611,97,,,,,,,
1,,99,,2263.00732421875,,,,,
1,,119,,2047.545166015625,,,,,
1,,139,,2115.02587890625,,,,,
1,,159,,1999.3388671875,,,,,
1,,179,,1985.25341796875,,,,,
1,,193,,,28952.462890625,2895246262272.0,30318.443359375,2.0,28952.462890625
1,,193,2043.36474609375,,,,,,
,0.000611,194,,,,,,,
2,,199,,1819.57470703125,,,,,
2,,219,,1963.6600341796875,,,,,
2,,239,,1771.813232421875,,,,,
2,,259,,1777.828857421875,,,,,
2,,279,,1661.797607421875,,,,,
2,,290,,,29123.09765625,2912309739520.0,30554.31640625,2.0,29123.09765625
2,,290,1767.9521484375,,,,,,
,0.000611,291,,,,,,,
3,,299,,1681.8868408203125,,,,,
3,,319,,1607.4530029296875,,,,,
3,,339,,1499.7156982421875,,,,,
3,,359,,1457.721435546875,,,,,
3,,379,,1493.1328125,,,,,
3,,387,,,29583.015625,2958301331456.0,31134.525390625,1.9978253841400146,29583.015625
3,,387,1562.723388671875,,,,,,
,0.000611,388,,,,,,,
4,,399,,1513.5712890625,,,,,
4,,419,,1461.8970947265625,,,,,
4,,439,,1419.0914306640625,,,,,
4,,459,,1447.8311767578125,,,,,
4,,479,,1419.61376953125,,,,,
4,,484,,,29173.34765625,2917335040000.0,30777.115234375,1.995652198791504,29173.34765625
4,,484,1431.711181640625,,,,,,
,0.0003055,485,,,,,,,
5,,499,,1410.3184814453125,,,,,
5,,519,,1401.392578125,,,,,
5,,539,,1345.319091796875,,,,,
5,,559,,1330.5035400390625,,,,,
5,,579,,1351.6846923828125,,,,,
5,,581,,,29114.68359375,2911468519424.0,30700.98828125,1.995652198791504,29114.68359375
5,,581,1343.0369873046875,,,,,,
,0.0003055,582,,,,,,,
6,,599,,1292.0072021484375,,,,,
6,,619,,1278.8798828125,,,,,
6,,639,,1315.6636962890625,,,,,
6,,659,,1356.0462646484375,,,,,
6,,678,,,29283.76953125,2928377069568.0,30845.34375,1.995652198791504,29283.76953125
6,,678,1299.32470703125,,,,,,
,0.0003055,679,,,,,,,
7,,679,,1284.0487060546875,,,,,
7,,699,,1276.2322998046875,,,,,
7,,719,,1264.8807373046875,,,,,
7,,739,,1210.1851806640625,,,,,
7,,759,,1276.5321044921875,,,,,
7,,775,,,29327.0,2932700086272.0,30872.76953125,1.9978259801864624,29327.0
7,,775,1261.84619140625,,,,,,
,0.0003055,776,,,,,,,
8,,779,,1287.68896484375,,,,,
8,,799,,1205.732421875,,,,,
8,,819,,1256.8031005859375,,,,,
8,,839,,1179.45166015625,,,,,
8,,859,,1182.663330078125,,,,,
8,,872,,,29170.98046875,2917098061824.0,30706.01171875,1.9978259801864624,29170.98046875
8,,872,1227.5506591796875,,,,,,
