epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,4047.457763671875,,,,,
0,99,,3597.65283203125,,,,,
0,122,,,53652.62890625,5365262974976.0,94572.28125,2.0,53652.62890625
0,122,4202.048828125,,,,,,
1,149,,3340.69970703125,,,,,
1,199,,3044.77685546875,,,,,
1,245,,,53834.0859375,5383408582656.0,95195.2265625,2.0,53834.0859375
1,245,3046.82763671875,,,,,,
2,249,,2647.28369140625,,,,,
2,299,,2933.250732421875,,,,,
2,349,,2500.475341796875,,,,,
2,368,,,54802.31640625,5480231993344.0,96727.71875,2.0,54802.31640625
2,368,2642.7197265625,,,,,,
3,399,,2520.328857421875,,,,,
3,449,,2361.943603515625,,,,,
3,491,,,54300.265625,5430027223040.0,96018.6328125,2.0,54300.265625
3,491,2441.21337890625,,,,,,
4,499,,2257.123046875,,,,,
4,549,,2292.05712890625,,,,,
4,599,,2234.79150390625,,,,,
4,614,,,54716.48828125,5471649398784.0,96702.5703125,2.0,54716.48828125
4,614,2258.56005859375,,,,,,
