epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3093.8427734375,,,,,
0,,39,,2526.903564453125,,,,,
0,,59,,2268.61328125,,,,,
0,,79,,2316.50927734375,,,,,
0,,99,,2159.511474609375,,,,,
0,,111,,,29587.62890625,2958762704896.0,31069.16015625,2.0,29587.62890625
0,,111,2641.597412109375,,,,,,
,0.000611,112,,,,,,,
1,,119,,1972.7950439453125,,,,,
1,,139,,1908.0751953125,,,,,
1,,159,,2007.3319091796875,,,,,
1,,179,,1884.1241455078125,,,,,
1,,199,,1871.622802734375,,,,,
1,,219,,1732.4827880859375,,,,,
1,,223,,,29585.443359375,2958544338944.0,30981.34765625,2.0,29585.443359375
1,,223,1927.7708740234375,,,,,,
,0.000611,224,,,,,,,
2,,239,,1735.0177001953125,,,,,
2,,259,,1817.2401123046875,,,,,
2,,279,,1728.782958984375,,,,,
2,,299,,1580.076416015625,,,,,
2,,319,,1707.7398681640625,,,,,
2,,335,,,29349.03515625,2934903406592.0,30871.9375,1.9913043975830078,29349.03515625
2,,335,1708.7674560546875,,,,,,
,0.000611,336,,,,,,,
3,,339,,1621.061767578125,,,,,
3,,359,,1658.4683837890625,,,,,
3,,379,,1512.8941650390625,,,,,
3,,399,,1465.538330078125,,,,,
3,,419,,1491.7613525390625,,,,,
3,,439,,1464.73876953125,,,,,
3,,447,,,29898.58984375,2989858488320.0,31409.47265625,1.9826085567474365,29898.58984375
3,,447,1555.4395751953125,,,,,,
,0.000611,448,,,,,,,
4,,459,,1505.7398681640625,,,,,
4,,479,,1530.57763671875,,,,,
4,,499,,1395.3243408203125,,,,,
4,,519,,1402.667236328125,,,,,
4,,539,,1436.1480712890625,,,,,
4,,559,,1381.104736328125,,,,,
4,,559,,,29669.853515625,2966985637888.0,31234.80078125,1.980434775352478,29669.853515625
4,,559,1453.5916748046875,,,,,,
,0.000611,560,,,,,,,
5,,579,,1398.1676025390625,,,,,
5,,599,,1379.219482421875,,,,,
5,,619,,1394.1549072265625,,,,,
5,,639,,1388.01513671875,,,,,
5,,659,,1316.7451171875,,,,,
5,,671,,,29689.30859375,2968930746368.0,31235.037109375,1.980434775352478,29689.30859375
5,,671,1360.2227783203125,,,,,,
,0.000611,672,,,,,,,
6,,679,,1338.0487060546875,,,,,
6,,699,,1236.7579345703125,,,,,
6,,719,,1284.8470458984375,,,,,
6,,739,,1313.2265625,,,,,
6,,759,,1244.296142578125,,,,,
6,,779,,1255.1209716796875,,,,,
6,,783,,,29851.09765625,2985109749760.0,31392.359375,1.9826085567474365,29851.09765625
6,,783,1286.0184326171875,,,,,,
,0.0003055,784,,,,,,,
7,,799,,1197.2034912109375,,,,,
7,,819,,1220.7471923828125,,,,,
7,,839,,1215.7657470703125,,,,,
7,,859,,1181.0936279296875,,,,,
7,,879,,1141.2001953125,,,,,
7,,895,,,30087.79296875,3008779255808.0,31654.75390625,1.9826085567474365,30087.79296875
7,,895,1220.0775146484375,,,,,,
,0.0003055,896,,,,,,,
8,,899,,1213.06298828125,,,,,
8,,919,,1199.794677734375,,,,,
8,,939,,1222.3447265625,,,,,
8,,959,,1222.0469970703125,,,,,
8,,979,,1183.2952880859375,,,,,
8,,999,,1161.5997314453125,,,,,
8,,1007,,,29993.35546875,2999335780352.0,31534.66796875,1.9826085567474365,29993.35546875
8,,1007,1175.828125,,,,,,
,0.0003055,1008,,,,,,,
9,,1019,,1153.1983642578125,,,,,
9,,1039,,1162.857177734375,,,,,
9,,1059,,1196.3681640625,,,,,
9,,1079,,1107.6851806640625,,,,,
9,,1099,,1168.9339599609375,,,,,
9,,1119,,1159.846923828125,,,,,
9,,1119,,,29649.609375,2964960837632.0,31213.63671875,1.9826085567474365,29649.609375
9,,1119,1140.9605712890625,,,,,,
,0.0003055,1120,,,,,,,
10,,1139,,1087.6927490234375,,,,,
10,,1159,,1133.751708984375,,,,,
10,,1179,,1091.298095703125,,,,,
10,,1199,,1091.7984619140625,,,,,
10,,1219,,1115.3118896484375,,,,,
10,,1231,,,29964.47265625,2996447215616.0,31550.69921875,1.9826085567474365,29964.47265625
10,,1231,1108.2808837890625,,,,,,
