epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,3768.960693359375,,,,,
0,99,,3414.862060546875,,,,,
0,122,,,52401.44140625,5240144265216.0,92349.6328125,2.0,52401.44140625
0,122,3928.616455078125,,,,,,
1,149,,2482.080078125,,,,,
1,199,,2894.414794921875,,,,,
1,245,,,53402.0,5340199911424.0,93853.3515625,2.0,53402.0
1,245,2786.730224609375,,,,,,
2,249,,2744.177001953125,,,,,
2,299,,2251.70947265625,,,,,
2,349,,2079.535888671875,,,,,
2,368,,,52649.80859375,5264980312064.0,93318.5234375,2.0,52649.80859375
2,368,2406.5302734375,,,,,,
3,399,,2322.06884765625,,,,,
3,449,,2254.3466796875,,,,,
3,491,,,52366.44140625,5236644642816.0,92463.9375,1.9960474967956543,52366.44140625
3,491,2123.626953125,,,,,,
4,499,,2095.328857421875,,,,,
4,549,,1880.9031982421875,,,,,
4,599,,1771.3138427734375,,,,,
4,614,,,52472.76171875,5247276679168.0,92776.1484375,1.994071125984192,52472.76171875
4,614,1942.53125,,,,,,
