epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3266.41845703125,,,,,
0,,39,,2669.898681640625,,,,,
0,,59,,2432.629150390625,,,,,
0,,79,,2466.427734375,,,,,
0,,99,,2107.412109375,,,,,
0,,111,,,28257.24609375,2825724362752.0,29660.849609375,2.0,28257.24609375
0,,111,2761.579833984375,,,,,,
,0.000611,112,,,,,,,
1,,119,,2093.826416015625,,,,,
1,,139,,2044.8511962890625,,,,,
1,,159,,2007.4039306640625,,,,,
1,,179,,1919.9716796875,,,,,
1,,199,,2001.49169921875,,,,,
1,,219,,1808.9521484375,,,,,
1,,223,,,29474.400390625,2947439919104.0,30887.462890625,2.0,29474.400390625
1,,223,1966.5650634765625,,,,,,
,0.000611,224,,,,,,,
2,,239,,1739.28466796875,,,,,
2,,259,,1701.802001953125,,,,,
2,,279,,1762.9483642578125,,,,,
2,,299,,1611.9881591796875,,,,,
2,,319,,1581.177001953125,,,,,
2,,335,,,29593.568359375,2959356723200.0,31040.52734375,2.0,29593.568359375
2,,335,1699.8599853515625,,,,,,
,0.000611,336,,,,,,,
3,,339,,1532.522705078125,,,,,
3,,359,,1551.6341552734375,,,,,
3,,379,,1594.858154296875,,,,,
3,,399,,1555.418701171875,,,,,
3,,419,,1509.3172607421875,,,,,
3,,439,,1541.1318359375,,,,,
3,,447,,,29223.82421875,2922382360576.0,30696.78515625,2.0,29223.82421875
3,,447,1548.7261962890625,,,,,,
,0.000611,448,,,,,,,
4,,459,,1411.7415771484375,,,,,
4,,479,,1517.2491455078125,,,,,
4,,499,,1497.3712158203125,,,,,
4,,519,,1359.6929931640625,,,,,
4,,539,,1421.74609375,,,,,
4,,559,,1372.6885986328125,,,,,
4,,559,,,29168.099609375,2916810227712.0,30726.484375,2.0,29168.099609375
4,,559,1444.2808837890625,,,,,,
,0.0003055,560,,,,,,,
5,,579,,1392.1915283203125,,,,,
5,,599,,1362.13232421875,,,,,
5,,619,,1286.083251953125,,,,,
5,,639,,1338.5411376953125,,,,,
5,,659,,1352.14501953125,,,,,
5,,671,,,29291.896484375,2929189453824.0,30869.462890625,1.9934784173965454,29291.896484375
5,,671,1349.6651611328125,,,,,,
,0.0003055,672,,,,,,,
6,,679,,1313.2069091796875,,,,,
6,,699,,1267.904541015625,,,,,
6,,719,,1257.2109375,,,,,
6,,739,,1315.906982421875,,,,,
6,,759,,1265.3341064453125,,,,,
6,,779,,1244.35498046875,,,,,
6,,783,,,29475.765625,2947576496128.0,31014.35546875,1.9913043975830078,29475.765625
6,,783,1296.519775390625,,,,,,
,0.0003055,784,,,,,,,
7,,799,,1210.27197265625,,,,,
7,,819,,1212.7236328125,,,,,
7,,839,,1256.9794921875,,,,,
7,,859,,1283.3602294921875,,,,,
7,,879,,1266.4453125,,,,,
7,,895,,,29257.48046875,2925748289536.0,30831.099609375,1.9891303777694702,29257.48046875
7,,895,1251.2569580078125,,,,,,
,0.0003055,896,,,,,,,
8,,899,,1190.8199462890625,,,,,
8,,919,,1170.8017578125,,,,,
8,,939,,1228.8980712890625,,,,,
8,,959,,1204.068115234375,,,,,
8,,979,,1205.085205078125,,,,,
8,,999,,1199.9183349609375,,,,,
8,,1007,,,29312.603515625,2931260391424.0,30887.515625,1.9891303777694702,29312.603515625
8,,1007,1214.4534912109375,,,,,,
