epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,3778.7734375,,,,,
0,99,,3424.916015625,,,,,
0,122,,,50891.56640625,5089156661248.0,90473.4140625,2.0,50891.56640625
0,122,3772.666015625,,,,,,
1,149,,2582.97998046875,,,,,
1,199,,2934.0615234375,,,,,
1,245,,,54000.83984375,5400084086784.0,95764.40625,1.97826087474823,54000.83984375
1,245,2597.184814453125,,,,,,
2,249,,2407.835205078125,,,,,
2,299,,2611.287109375,,,,,
2,349,,2223.189208984375,,,,,
2,368,,,52668.109375,5266810601472.0,93541.5078125,1.97826087474823,52668.109375
2,368,2245.983154296875,,,,,,
3,399,,2105.018310546875,,,,,
3,449,,1943.63330078125,,,,,
3,491,,,52602.234375,5260222922752.0,92914.546875,1.97826087474823,52602.234375
3,491,1999.3173828125,,,,,,
4,499,,1747.0721435546875,,,,,
4,549,,2007.58935546875,,,,,
4,599,,1735.9727783203125,,,,,
4,614,,,52338.6875,5233868537856.0,92819.4375,1.97826087474823,52338.6875
4,614,1779.903564453125,,,,,,
