epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,3428.26025390625,,,,,
0,99,,2415.38818359375,,,,,
0,122,,,52721.12109375,5272112201728.0,93757.703125,2.0,52721.12109375
0,122,3697.291015625,,,,,,
1,149,,2375.71142578125,,,,,
1,199,,2393.96533203125,,,,,
1,245,,,53067.2734375,5306727268352.0,93740.3046875,1.9980238676071167,53067.2734375
1,245,2624.94873046875,,,,,,
2,249,,2467.056640625,,,,,
2,299,,2158.029541015625,,,,,
2,349,,1973.5386962890625,,,,,
2,368,,,52976.37890625,5297638211584.0,93957.6953125,1.97826087474823,52976.37890625
2,368,2161.06591796875,,,,,,
3,399,,2220.39697265625,,,,,
3,449,,1835.9014892578125,,,,,
3,491,,,52983.5859375,5298358583296.0,93856.9453125,1.97826087474823,52983.5859375
3,491,1895.2540283203125,,,,,,
4,499,,1797.1134033203125,,,,,
4,549,,2054.339599609375,,,,,
4,599,,1631.9796142578125,,,,,
4,614,,,52480.046875,5248004390912.0,92855.6015625,1.97826087474823,52480.046875
4,614,1682.1917724609375,,,,,,
