epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3093.843017578125,,,,,
0,,39,,2526.902587890625,,,,,
0,,59,,2268.61376953125,,,,,
0,,79,,2326.68310546875,,,,,
0,,99,,2151.26123046875,,,,,
0,,111,,,29447.619140625,2944762118144.0,30924.443359375,2.0,29447.619140625
0,,111,2640.879638671875,,,,,,
,0.000611,112,,,,,,,
1,,119,,1966.9918212890625,,,,,
1,,139,,1903.1209716796875,,,,,
1,,159,,2083.659423828125,,,,,
1,,179,,1883.891357421875,,,,,
1,,199,,1822.231201171875,,,,,
1,,219,,1718.002685546875,,,,,
1,,223,,,29243.26171875,2924326158336.0,30646.22265625,2.0,29243.26171875
1,,223,1927.4462890625,,,,,,
,0.000611,224,,,,,,,
2,,239,,1754.14892578125,,,,,
2,,259,,1686.3848876953125,,,,,
2,,279,,1731.4161376953125,,,,,
2,,299,,1563.08984375,,,,,
2,,319,,1648.27685546875,,,,,
2,,335,,,30041.50390625,3004150579200.0,31564.56640625,1.9913043975830078,30041.50390625
2,,335,1690.4234619140625,,,,,,
,0.000611,336,,,,,,,
3,,339,,1626.3658447265625,,,,,
3,,359,,1613.5999755859375,,,,,
3,,379,,1451.5157470703125,,,,,
3,,399,,1461.2880859375,,,,,
3,,419,,1438.0343017578125,,,,,
3,,439,,1442.8359375,,,,,
3,,447,,,30000.546875,3000055103488.0,31591.943359375,1.980434775352478,30000.546875
3,,447,1525.1541748046875,,,,,,
,0.000611,448,,,,,,,
4,,459,,1447.6285400390625,,,,,
4,,479,,1501.6314697265625,,,,,
4,,499,,1352.6014404296875,,,,,
4,,519,,1379.69580078125,,,,,
4,,539,,1395.2645263671875,,,,,
4,,559,,1334.5101318359375,,,,,
4,,559,,,29691.15625,2969116082176.0,31248.646484375,1.980434775352478,29691.15625
4,,559,1417.3326416015625,,,,,,
,0.000611,560,,,,,,,
5,,579,,1353.018310546875,,,,,
5,,599,,1347.32373046875,,,,,
5,,619,,1400.573974609375,,,,,
5,,639,,1375.4869384765625,,,,,
5,,659,,1282.8533935546875,,,,,
5,,671,,,29874.244140625,2987424481280.0,31430.25390625,1.9826085567474365,29874.244140625
5,,671,1330.8076171875,,,,,,
,0.0003055,672,,,,,,,
6,,679,,1289.03466796875,,,,,
6,,699,,1203.9859619140625,,,,,
6,,719,,1265.21337890625,,,,,
6,,739,,1217.88134765625,,,,,
6,,759,,1208.169677734375,,,,,
6,,779,,1235.1544189453125,,,,,
6,,783,,,29940.93359375,2994093424640.0,31475.787109375,1.9826085567474365,29940.93359375
6,,783,1249.9844970703125,,,,,,
,0.0003055,784,,,,,,,
7,,799,,1173.9898681640625,,,,,
7,,819,,1206.6279296875,,,,,
7,,839,,1191.79736328125,,,,,
7,,859,,1165.214111328125,,,,,
7,,879,,1123.666748046875,,,,,
7,,895,,,30035.81640625,3003581464576.0,31593.68359375,1.9826085567474365,30035.81640625
7,,895,1201.9549560546875,,,,,,
,0.0003055,896,,,,,,,
8,,899,,1195.611083984375,,,,,
8,,919,,1188.5791015625,,,,,
8,,939,,1208.2442626953125,,,,,
8,,959,,1199.5693359375,,,,,
8,,979,,1165.8079833984375,,,,,
8,,999,,1152.7562255859375,,,,,
8,,1007,,,29999.34375,2999934255104.0,31542.291015625,1.9826085567474365,29999.34375
8,,1007,1164.156494140625,,,,,,
,0.0003055,1008,,,,,,,
9,,1019,,1141.479736328125,,,,,
9,,1039,,1148.198486328125,,,,,
9,,1059,,1182.2457275390625,,,,,
9,,1079,,1096.1363525390625,,,,,
9,,1099,,1162.156982421875,,,,,
9,,1119,,1147.8486328125,,,,,
9,,1119,,,29673.50390625,2967350280192.0,31229.41796875,1.9782607555389404,29673.50390625
9,,1119,1130.262451171875,,,,,,
