epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0005,0,,,,,,,
0,,19,,7984.18359375,,,,,
0,,39,,5264.03564453125,,,,,
0,,59,,5561.27880859375,,,,,
0,,79,,6142.9267578125,,,,,
0,,99,,6165.322265625,,,,,
0,,119,,5536.96484375,,,,,
0,,139,,6351.97412109375,,,,,
0,,159,,6267.1142578125,,,,,
0,,179,,3383.2353515625,,,,,
0,,199,,3823.677001953125,,,,,
0,,213,,,51892.31640625,5189231706112.0,92595.9296875,1.9841898679733276,92595.9296875
0,,213,5926.515625,,,,,,
,0.0005,214,,,,,,,
1,,219,,2979.587158203125,,,,,
1,,239,,4260.54443359375,,,,,
1,,259,,3691.3193359375,,,,,
1,,279,,3472.261474609375,,,,,
1,,299,,2899.26220703125,,,,,
1,,319,,3243.293701171875,,,,,
1,,339,,2790.50732421875,,,,,
1,,359,,3884.99072265625,,,,,
1,,379,,3470.87841796875,,,,,
1,,399,,3374.925048828125,,,,,
1,,419,,3169.963134765625,,,,,
1,,427,,,52984.7734375,5298477072384.0,93725.7109375,1.9841898679733276,93725.7109375
1,,427,3791.50537109375,,,,,,
,0.0005,428,,,,,,,
2,,439,,3219.099365234375,,,,,
2,,459,,3001.150390625,,,,,
2,,479,,2971.05908203125,,,,,
2,,499,,3324.36328125,,,,,
2,,519,,2907.063720703125,,,,,
2,,539,,2588.176513671875,,,,,
2,,559,,2950.5458984375,,,,,
2,,579,,2938.943603515625,,,,,
2,,599,,3281.697021484375,,,,,
2,,619,,2342.9697265625,,,,,
2,,639,,2894.38720703125,,,,,
2,,641,,,51994.19921875,5199419670528.0,92746.0390625,1.986166000366211,92746.0390625
2,,641,2964.900390625,,,,,,
,0.0005,642,,,,,,,
3,,659,,2535.276123046875,,,,,
3,,679,,2539.389404296875,,,,,
3,,699,,2444.455810546875,,,,,
3,,719,,2968.737548828125,,,,,
3,,739,,2716.957275390625,,,,,
3,,759,,2687.429443359375,,,,,
3,,779,,2474.32666015625,,,,,
3,,799,,2678.1767578125,,,,,
3,,819,,2232.7001953125,,,,,
3,,839,,2437.3564453125,,,,,
3,,855,,,51928.359375,5192836186112.0,91916.3828125,1.9822134971618652,91916.3828125
3,,855,2466.581787109375,,,,,,
,0.0005,856,,,,,,,
4,,859,,2249.198974609375,,,,,
4,,879,,2479.5380859375,,,,,
4,,899,,2636.016845703125,,,,,
4,,919,,2117.94580078125,,,,,
4,,939,,2361.49609375,,,,,
4,,959,,2073.826171875,,,,,
4,,979,,2113.52001953125,,,,,
4,,999,,2246.30908203125,,,,,
4,,1019,,2173.263427734375,,,,,
4,,1039,,2256.890869140625,,,,,
4,,1059,,1939.6595458984375,,,,,
4,,1069,,,52543.56640625,5254356664320.0,92609.7421875,1.9822134971618652,92609.7421875
4,,1069,2163.206298828125,,,,,,
,0.0005,1070,,,,,,,
5,,1079,,1784.5733642578125,,,,,
5,,1099,,2054.366943359375,,,,,
5,,1119,,2240.873779296875,,,,,
5,,1139,,1974.0701904296875,,,,,
5,,1159,,2111.20458984375,,,,,
5,,1179,,1934.244873046875,,,,,
5,,1199,,1808.136962890625,,,,,
5,,1219,,1886.87939453125,,,,,
5,,1239,,1666.9794921875,,,,,
5,,1259,,1828.6571044921875,,,,,
5,,1279,,1732.541015625,,,,,
5,,1283,,,52317.16015625,5231715811328.0,92355.1640625,1.9881421327590942,92355.1640625
5,,1283,1892.1427001953125,,,,,,
,0.0005,1284,,,,,,,
6,,1299,,1546.8323974609375,,,,,
6,,1319,,1587.0462646484375,,,,,
6,,1339,,1821.2789306640625,,,,,
6,,1359,,1959.4051513671875,,,,,
6,,1379,,1764.529296875,,,,,
6,,1399,,1653.5860595703125,,,,,
6,,1419,,1763.77294921875,,,,,
6,,1439,,1487.341064453125,,,,,
6,,1459,,1413.18310546875,,,,,
6,,1479,,1931.921142578125,,,,,
6,,1497,,,52237.02734375,5223703117824.0,92247.375,1.986166000366211,92247.375
6,,1497,1707.3564453125,,,,,,
,0.0005,1498,,,,,,,
7,,1499,,1667.4893798828125,,,,,
7,,1519,,1897.1302490234375,,,,,
7,,1539,,1599.493408203125,,,,,
7,,1559,,1551.75341796875,,,,,
7,,1579,,1492.317138671875,,,,,
7,,1599,,1719.885986328125,,,,,
7,,1619,,1587.216796875,,,,,
7,,1639,,1411.3260498046875,,,,,
7,,1659,,1477.0845947265625,,,,,
