epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,4550.63232421875,,,,,
0,99,,3340.146484375,,,,,
0,122,,,52587.71484375,5258771693568.0,92192.5,2.0,52587.71484375
0,122,4408.044921875,,,,,,
1,149,,2833.13720703125,,,,,
1,199,,3144.20068359375,,,,,
1,245,,,52998.58984375,5299859095552.0,92881.109375,2.0,52998.58984375
1,245,2927.06494140625,,,,,,
2,249,,2449.07666015625,,,,,
2,299,,2308.53857421875,,,,,
2,349,,2850.359375,,,,,
2,368,,,51721.00390625,5172100071424.0,91029.375,1.992094874382019,51721.00390625
2,368,2586.043701171875,,,,,,
3,399,,2732.324462890625,,,,,
3,449,,2566.220703125,,,,,
3,491,,,51855.49609375,5185549631488.0,91898.3671875,1.9881421327590942,51855.49609375
3,491,2316.619384765625,,,,,,
4,499,,2195.12353515625,,,,,
4,549,,1956.1787109375,,,,,
4,599,,2141.99755859375,,,,,
4,614,,,51796.3125,5179630944256.0,91531.9375,1.986166000366211,51796.3125
4,614,2144.627685546875,,,,,,
