epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3272.642578125,,,,,
0,,39,,2636.0546875,,,,,
0,,59,,2309.265625,,,,,
0,,79,,2367.471435546875,,,,,
0,,99,,2082.96826171875,,,,,
0,,111,,,28952.947265625,2895295283200.0,30393.19140625,2.0,28952.947265625
0,,111,2691.405029296875,,,,,,
,0.000611,112,,,,,,,
1,,119,,1998.4619140625,,,,,
1,,139,,1974.8936767578125,,,,,
1,,159,,1959.0335693359375,,,,,
1,,179,,1847.5235595703125,,,,,
1,,199,,2020.1270751953125,,,,,
1,,219,,1787.06201171875,,,,,
1,,223,,,28836.916015625,2883691216896.0,30275.755859375,2.0,28836.916015625
1,,223,1943.1839599609375,,,,,,
,0.000611,224,,,,,,,
2,,239,,1707.8905029296875,,,,,
2,,259,,1684.12158203125,,,,,
2,,279,,1706.9295654296875,,,,,
2,,299,,1633.9627685546875,,,,,
2,,319,,1629.265625,,,,,
2,,335,,,29728.69140625,2972868935680.0,31217.912109375,2.0,29728.69140625
2,,335,1700.201904296875,,,,,,
,0.000611,336,,,,,,,
3,,339,,1556.54345703125,,,,,
3,,359,,1553.68017578125,,,,,
3,,379,,1618.778564453125,,,,,
3,,399,,1540.653564453125,,,,,
3,,419,,1514.4881591796875,,,,,
3,,439,,1538.7147216796875,,,,,
3,,447,,,29236.91796875,2923692294144.0,30742.28515625,2.0,29236.91796875
3,,447,1565.345458984375,,,,,,
,0.000611,448,,,,,,,
4,,459,,1437.9061279296875,,,,,
4,,479,,1575.084228515625,,,,,
4,,499,,1507.4632568359375,,,,,
4,,519,,1405.8896484375,,,,,
4,,539,,1487.5322265625,,,,,
4,,559,,1486.686767578125,,,,,
4,,559,,,29615.755859375,2961575510016.0,31185.62109375,1.9978259801864624,29615.755859375
4,,559,1475.924072265625,,,,,,
,0.000611,560,,,,,,,
5,,579,,1421.718505859375,,,,,
5,,599,,1495.131103515625,,,,,
5,,619,,1365.2156982421875,,,,,
5,,639,,1369.7928466796875,,,,,
5,,659,,1368.2451171875,,,,,
5,,671,,,29490.41015625,2949041094656.0,31070.16796875,1.9869563579559326,29490.41015625
5,,671,1405.2879638671875,,,,,,
,0.0003055,672,,,,,,,
6,,679,,1349.287353515625,,,,,
6,,699,,1280.9630126953125,,,,,
6,,719,,1285.8492431640625,,,,,
6,,739,,1337.533447265625,,,,,
6,,759,,1270.2900390625,,,,,
6,,779,,1255.7210693359375,,,,,
6,,783,,,29601.79296875,2960179593216.0,31204.265625,1.9826085567474365,29601.79296875
6,,783,1317.0306396484375,,,,,,
,0.0003055,784,,,,,,,
7,,799,,1234.0986328125,,,,,
7,,819,,1225.1392822265625,,,,,
7,,839,,1281.8155517578125,,,,,
7,,859,,1283.8988037109375,,,,,
7,,879,,1296.1220703125,,,,,
7,,895,,,29316.56640625,2931656491008.0,30885.318359375,1.9826085567474365,29316.56640625
7,,895,1268.3197021484375,,,,,,
,0.0003055,896,,,,,,,
8,,899,,1219.584716796875,,,,,
8,,919,,1180.1221923828125,,,,,
8,,939,,1249.635986328125,,,,,
8,,959,,1230.614990234375,,,,,
8,,979,,1208.917236328125,,,,,
8,,999,,1211.8623046875,,,,,
8,,1007,,,29161.74609375,2916174790656.0,30736.484375,1.980434775352478,29161.74609375
8,,1007,1224.1279296875,,,,,,
,0.0003055,1008,,,,,,,
9,,1019,,1222.2188720703125,,,,,
9,,1039,,1206.9189453125,,,,,
9,,1059,,1202.08251953125,,,,,
9,,1079,,1220.67529296875,,,,,
9,,1099,,1163.5113525390625,,,,,
9,,1119,,1189.4820556640625,,,,,
9,,1119,,,29368.35546875,2936835670016.0,30947.35546875,1.980434775352478,29368.35546875
9,,1119,1186.523681640625,,,,,,
