epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3264.4775390625,,,,,
0,,39,,2556.96630859375,,,,,
0,,59,,2370.8046875,,,,,
0,,79,,2399.42822265625,,,,,
0,,99,,2041.23095703125,,,,,
0,,111,,,28389.650390625,2838965256192.0,29745.416015625,2.0,28389.650390625
0,,111,2703.189697265625,,,,,,
,0.000611,112,,,,,,,
1,,119,,2025.5491943359375,,,,,
1,,139,,1997.2952880859375,,,,,
1,,159,,1996.2061767578125,,,,,
1,,179,,1879.4449462890625,,,,,
1,,199,,1985.125732421875,,,,,
1,,219,,1754.481689453125,,,,,
1,,223,,,29649.162109375,2964916273152.0,31134.39453125,2.0,29649.162109375
1,,223,1932.318359375,,,,,,
,0.000611,224,,,,,,,
2,,239,,1700.6090087890625,,,,,
