epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3093.843017578125,,,,,
0,,39,,2526.90380859375,,,,,
0,,59,,2268.633056640625,,,,,
0,,79,,2318.125732421875,,,,,
0,,99,,2154.93603515625,,,,,
0,,111,,,29538.71484375,2953871884288.0,31008.78515625,2.0,29538.71484375
0,,111,2641.301513671875,,,,,,
,0.000611,112,,,,,,,
1,,119,,1951.0489501953125,,,,,
1,,139,,1848.596435546875,,,,,
1,,159,,2028.295166015625,,,,,
1,,179,,1948.177978515625,,,,,
1,,199,,1823.977294921875,,,,,
1,,219,,1700.2086181640625,,,,,
1,,223,,,29844.62109375,2984461991936.0,31193.69140625,2.0,29844.62109375
1,,223,1898.7447509765625,,,,,,
,0.000611,224,,,,,,,
2,,239,,1716.3712158203125,,,,,
2,,259,,1683.80126953125,,,,,
2,,279,,1700.757080078125,,,,,
2,,299,,1555.1031494140625,,,,,
2,,319,,1666.8656005859375,,,,,
2,,335,,,29638.73828125,2963873726464.0,31161.05078125,1.9913043975830078,29638.73828125
2,,335,1675.686279296875,,,,,,
,0.000611,336,,,,,,,
3,,339,,1613.1605224609375,,,,,
3,,359,,1618.4842529296875,,,,,
3,,379,,1467.435791015625,,,,,
3,,399,,1466.1307373046875,,,,,
3,,419,,1442.3277587890625,,,,,
3,,439,,1428.15234375,,,,,
3,,447,,,29930.984375,2993098588160.0,31448.32421875,1.9826085567474365,29930.984375
3,,447,1535.4765625,,,,,,
,0.000611,448,,,,,,,
4,,459,,1457.97265625,,,,,
4,,479,,1551.703857421875,,,,,
4,,499,,1389.657470703125,,,,,
4,,519,,1436.934326171875,,,,,
4,,539,,1454.2921142578125,,,,,
4,,559,,1368.0511474609375,,,,,
4,,559,,,29901.72265625,2990172012544.0,31482.03515625,1.980434775352478,29901.72265625
4,,559,1439.689208984375,,,,,,
,0.0003055,560,,,,,,,
5,,579,,1379.5196533203125,,,,,
5,,599,,1369.5810546875,,,,,
5,,619,,1370.2681884765625,,,,,
5,,639,,1384.1309814453125,,,,,
5,,659,,1312.73193359375,,,,,
5,,671,,,29772.40234375,2977240449024.0,31326.677734375,1.9826085567474365,29772.40234375
5,,671,1345.3887939453125,,,,,,
,0.0003055,672,,,,,,,
6,,679,,1321.398193359375,,,,,
6,,699,,1240.7855224609375,,,,,
6,,719,,1296.319091796875,,,,,
6,,739,,1272.51904296875,,,,,
6,,759,,1273.0662841796875,,,,,
6,,779,,1271.0556640625,,,,,
6,,783,,,29806.166015625,2980616863744.0,31337.63671875,1.9826085567474365,29806.166015625
6,,783,1290.8436279296875,,,,,,
,0.0003055,784,,,,,,,
7,,799,,1214.736328125,,,,,
7,,819,,1256.0113525390625,,,,,
7,,839,,1231.918212890625,,,,,
7,,859,,1202.7647705078125,,,,,
7,,879,,1169.9906005859375,,,,,
7,,895,,,30104.13671875,3010413985792.0,31651.640625,1.9826085567474365,30104.13671875
7,,895,1247.274169921875,,,,,,
,0.0003055,896,,,,,,,
8,,899,,1239.9678955078125,,,,,
8,,919,,1225.04541015625,,,,,
8,,939,,1246.236083984375,,,,,
8,,959,,1249.20068359375,,,,,
8,,979,,1204.83203125,,,,,
8,,999,,1186.2537841796875,,,,,
8,,1007,,,30027.65234375,3002765672448.0,31557.787109375,1.9826085567474365,30027.65234375
8,,1007,1202.090576171875,,,,,,
