epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,3443.264892578125,,,,,
0,99,,3113.2958984375,,,,,
0,122,,,53540.18359375,5354018570240.0,94614.2578125,2.0,53540.18359375
0,122,3863.4443359375,,,,,,
1,149,,2897.736328125,,,,,
1,199,,2765.648681640625,,,,,
1,245,,,52759.69921875,5275970437120.0,93781.15625,2.0,52759.69921875
1,245,2672.00732421875,,,,,,
2,249,,2422.856201171875,,,,,
2,299,,2129.809326171875,,,,,
2,349,,1930.5216064453125,,,,,
2,368,,,53751.74609375,5375175163904.0,95201.6796875,1.9940662384033203,53751.74609375
2,368,2248.84130859375,,,,,,
3,399,,1940.552978515625,,,,,
3,449,,1888.0946044921875,,,,,
3,491,,,53228.68359375,5322867998720.0,94112.953125,1.9901185035705566,53228.68359375
3,491,1994.1385498046875,,,,,,
4,499,,1742.5264892578125,,,,,
4,549,,1863.856201171875,,,,,
4,599,,1615.8997802734375,,,,,
4,614,,,53985.66015625,5398565224448.0,95400.578125,1.992094874382019,53985.66015625
4,614,1830.236328125,,,,,,
