epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3327.379638671875,,,,,
0,,39,,2487.57470703125,,,,,
0,,59,,2239.070068359375,,,,,
0,,79,,2330.650146484375,,,,,
0,,96,,,29402.87890625,2940287844352.0,30807.35546875,2.0,29402.87890625
0,,96,2770.55322265625,,,,,,
,0.000611,97,,,,,,,
1,,99,,2171.216064453125,,,,,
1,,119,,1980.9708251953125,,,,,
1,,139,,2035.7459716796875,,,,,
1,,159,,1906.1329345703125,,,,,
1,,179,,1958.588623046875,,,,,
1,,193,,,28914.666015625,2891466407936.0,30268.26953125,2.0,28914.666015625
1,,193,1971.5054931640625,,,,,,
,0.000611,194,,,,,,,
2,,199,,1795.46484375,,,,,
2,,219,,1970.4239501953125,,,,,
2,,239,,1759.61279296875,,,,,
2,,259,,1731.4075927734375,,,,,
2,,279,,1659.4110107421875,,,,,
2,,290,,,29719.271484375,2971927052288.0,31168.150390625,2.0,29719.271484375
2,,290,1741.724853515625,,,,,,
,0.000611,291,,,,,,,
3,,299,,1738.74951171875,,,,,
3,,319,,1676.8670654296875,,,,,
3,,339,,1519.595458984375,,,,,
3,,359,,1549.4710693359375,,,,,
3,,379,,1540.496826171875,,,,,
3,,387,,,29340.494140625,2934049079296.0,30870.77734375,1.995652198791504,29340.494140625
3,,387,1608.0888671875,,,,,,
,0.000611,388,,,,,,,
4,,399,,1570.5712890625,,,,,
4,,419,,1511.9453125,,,,,
4,,439,,1460.1605224609375,,,,,
4,,459,,1546.302978515625,,,,,
4,,479,,1479.5938720703125,,,,,
4,,484,,,29026.525390625,2902652616704.0,30566.52734375,1.9913043975830078,29026.525390625
4,,484,1494.709716796875,,,,,,
,0.000611,485,,,,,,,
5,,499,,1479.98876953125,,,,,
5,,519,,1457.4239501953125,,,,,
5,,539,,1378.0872802734375,,,,,
5,,559,,1369.8902587890625,,,,,
5,,579,,1392.9952392578125,,,,,
5,,581,,,28924.865234375,2892486672384.0,30443.23828125,1.9869563579559326,28924.865234375
5,,581,1412.9461669921875,,,,,,
,0.0003055,582,,,,,,,
6,,599,,1340.4886474609375,,,,,
6,,619,,1309.676513671875,,,,,
6,,639,,1349.5927734375,,,,,
6,,659,,1369.6241455078125,,,,,
6,,678,,,29573.099609375,2957310164992.0,31100.916015625,1.9891303777694702,29573.099609375
6,,678,1335.3551025390625,,,,,,
,0.0003055,679,,,,,,,
7,,679,,1336.8992919921875,,,,,
7,,699,,1293.16748046875,,,,,
7,,719,,1302.699462890625,,,,,
7,,739,,1233.121826171875,,,,,
7,,759,,1285.0858154296875,,,,,
7,,775,,,29399.453125,2939944960000.0,30936.822265625,1.9891303777694702,29399.453125
7,,775,1285.1834716796875,,,,,,
,0.0003055,776,,,,,,,
8,,779,,1309.449951171875,,,,,
8,,799,,1204.0699462890625,,,,,
8,,819,,1306.63037109375,,,,,
8,,839,,1211.9951171875,,,,,
8,,859,,1198.8701171875,,,,,
8,,872,,,29443.86328125,2944386203648.0,30983.30078125,1.9891303777694702,29443.86328125
8,,872,1245.9609375,,,,,,
,0.0003055,873,,,,,,,
9,,879,,1248.107666015625,,,,,
9,,899,,1205.8466796875,,,,,
9,,919,,1252.4588623046875,,,,,
9,,939,,1206.0135498046875,,,,,
9,,959,,1209.288330078125,,,,,
9,,969,,,29394.046875,2939404943360.0,30925.08203125,1.9869563579559326,29394.046875
9,,969,1211.7857666015625,,,,,,
