epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,3819.448486328125,,,,,
0,99,,2951.257568359375,,,,,
0,122,,,52335.3984375,5233540333568.0,93206.6484375,2.0,52335.3984375
0,122,3913.341552734375,,,,,,
1,149,,3055.955810546875,,,,,
1,199,,3115.990478515625,,,,,
1,245,,,53547.37890625,5354737893376.0,94651.421875,2.0,53547.37890625
1,245,2839.2080078125,,,,,,
2,249,,2624.11181640625,,,,,
2,299,,2536.817626953125,,,,,
2,349,,1979.741455078125,,,,,
2,368,,,54030.1484375,5403014856704.0,95316.734375,1.9960474967956543,54030.1484375
2,368,2465.0244140625,,,,,,
3,399,,2363.996826171875,,,,,
3,449,,2307.711669921875,,,,,
3,491,,,54604.46484375,5460447461376.0,96440.90625,1.9960474967956543,54604.46484375
3,491,2232.958251953125,,,,,,
4,499,,2060.59912109375,,,,,
4,549,,1930.690185546875,,,,,
4,599,,1998.161376953125,,,,,
4,614,,,54450.07421875,5445007704064.0,96321.53125,1.9960474967956543,54450.07421875
4,614,2030.7823486328125,,,,,,
