epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,3428.330078125,,,,,
0,99,,3058.739013671875,,,,,
0,122,,,53234.94140625,5323493998592.0,94100.3046875,2.0,53234.94140625
0,122,3820.2919921875,,,,,,
1,149,,2547.589111328125,,,,,
1,199,,2763.25244140625,,,,,
1,245,,,54769.234375,5476923211776.0,96660.03125,2.0,54769.234375
1,245,2831.90673828125,,,,,,
2,249,,2510.199951171875,,,,,
2,299,,2215.536376953125,,,,,
2,349,,2443.4697265625,,,,,
2,368,,,54267.92578125,5426792366080.0,95496.6796875,2.0,54267.92578125
2,368,2544.400390625,,,,,,
3,399,,2171.08740234375,,,,,
3,449,,2012.1602783203125,,,,,
3,491,,,54336.03515625,5433602867200.0,95674.5234375,2.0,54336.03515625
3,491,2334.783447265625,,,,,,
4,499,,2385.2666015625,,,,,
4,549,,2259.600830078125,,,,,
4,599,,2657.23193359375,,,,,
4,614,,,54242.5625,5424256385024.0,95610.7578125,2.0,54242.5625
4,614,2188.674072265625,,,,,,
