epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,3675.961669921875,,,,,
0,99,,3456.917236328125,,,,,
0,122,,,52753.08984375,5275308785664.0,93466.234375,2.0,52753.08984375
0,122,3882.357177734375,,,,,,
1,149,,3032.431396484375,,,,,
1,199,,3078.104736328125,,,,,
1,245,,,53266.16015625,5326615609344.0,93571.71875,2.0,53266.16015625
1,245,2738.279052734375,,,,,,
2,249,,2291.908935546875,,,,,
2,299,,2497.001708984375,,,,,
2,349,,2062.051513671875,,,,,
2,368,,,53449.703125,5344970932224.0,93839.9765625,2.0,53449.703125
2,368,2359.0224609375,,,,,,
3,399,,1818.3138427734375,,,,,
3,449,,2287.262451171875,,,,,
3,491,,,53117.67578125,5311767248896.0,93717.28125,1.9980238676071167,53117.67578125
3,491,2045.2353515625,,,,,,
4,499,,1851.443603515625,,,,,
4,549,,1819.4991455078125,,,,,
4,599,,1625.2071533203125,,,,,
4,614,,,52989.796875,5298979340288.0,93359.9375,2.0,52989.796875
4,614,1779.208251953125,,,,,,
