epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,2958.20068359375,,,,,
0,,39,,2543.435546875,,,,,
0,,59,,2324.094482421875,,,,,
0,,79,,2354.120361328125,,,,,
0,,99,,2198.975341796875,,,,,
0,,111,,,29948.287109375,2994828738560.0,31388.56640625,2.0,29948.287109375
0,,111,2644.960693359375,,,,,,
,0.000611,112,,,,,,,
1,,119,,1991.3475341796875,,,,,
1,,139,,1954.427490234375,,,,,
1,,159,,2099.924560546875,,,,,
1,,179,,1890.4024658203125,,,,,
1,,199,,1835.406982421875,,,,,
1,,219,,1716.3199462890625,,,,,
1,,223,,,29158.41796875,2915841605632.0,30557.44140625,2.0,29158.41796875
1,,223,1939.8057861328125,,,,,,
,0.000611,224,,,,,,,
2,,239,,1791.0218505859375,,,,,
2,,259,,1752.1817626953125,,,,,
2,,279,,1768.2911376953125,,,,,
2,,299,,1626.8258056640625,,,,,
2,,319,,1681.39013671875,,,,,
2,,335,,,29412.1875,2941218717696.0,30968.177734375,1.995652198791504,29412.1875
2,,335,1727.0531005859375,,,,,,
,0.000611,336,,,,,,,
3,,339,,1683.1002197265625,,,,,
3,,359,,1650.1778564453125,,,,,
3,,379,,1505.912353515625,,,,,
3,,399,,1495.2225341796875,,,,,
3,,419,,1491.0159912109375,,,,,
3,,439,,1467.56640625,,,,,
3,,447,,,29415.056640625,2941505765376.0,30993.83984375,1.9847825765609741,29415.056640625
3,,447,1572.202392578125,,,,,,
,0.000611,448,,,,,,,
4,,459,,1518.329833984375,,,,,
4,,479,,1561.1756591796875,,,,,
4,,499,,1412.0074462890625,,,,,
4,,519,,1445.0699462890625,,,,,
4,,539,,1429.9747314453125,,,,,
4,,559,,1375.9549560546875,,,,,
4,,559,,,29653.44140625,2965343567872.0,31203.30859375,1.980434775352478,29653.44140625
4,,559,1462.455322265625,,,,,,
,0.000611,560,,,,,,,
5,,579,,1430.922607421875,,,,,
5,,599,,1397.472412109375,,,,,
5,,619,,1398.1253662109375,,,,,
5,,639,,1424.3968505859375,,,,,
5,,659,,1335.1005859375,,,,,
5,,671,,,29708.865234375,2970886602752.0,31307.603515625,1.9826085567474365,29708.865234375
5,,671,1375.345947265625,,,,,,
,0.0003055,672,,,,,,,
6,,679,,1327.112548828125,,,,,
6,,699,,1248.0074462890625,,,,,
6,,719,,1309.9332275390625,,,,,
6,,739,,1270.133544921875,,,,,
6,,759,,1268.1669921875,,,,,
6,,779,,1279.8115234375,,,,,
6,,783,,,29728.61328125,2972861333504.0,31260.140625,1.9826085567474365,29728.61328125
6,,783,1297.4150390625,,,,,,
,0.0003055,784,,,,,,,
7,,799,,1217.6497802734375,,,,,
7,,819,,1255.6663818359375,,,,,
7,,839,,1241.2989501953125,,,,,
7,,859,,1225.1387939453125,,,,,
7,,879,,1165.0562744140625,,,,,
7,,895,,,29778.16796875,2977816903680.0,31378.51171875,1.9782607555389404,29778.16796875
7,,895,1248.073486328125,,,,,,
,0.0003055,896,,,,,,,
8,,899,,1247.4443359375,,,,,
8,,919,,1239.59521484375,,,,,
8,,939,,1258.0322265625,,,,,
8,,959,,1254.2236328125,,,,,
8,,979,,1198.24609375,,,,,
8,,999,,1209.2523193359375,,,,,
8,,1007,,,29923.337890625,2992333389824.0,31485.68359375,1.980434775352478,29923.337890625
8,,1007,1206.6834716796875,,,,,,
,0.0003055,1008,,,,,,,
9,,1019,,1173.8533935546875,,,,,
9,,1039,,1188.4736328125,,,,,
9,,1059,,1229.576416015625,,,,,
9,,1079,,1119.3311767578125,,,,,
9,,1099,,1199.7183837890625,,,,,
9,,1119,,1200.07177734375,,,,,
9,,1119,,,29640.19921875,2964020002816.0,31171.26953125,1.9803470373153687,29640.19921875
9,,1119,1170.0880126953125,,,,,,
