epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.000611,0,,,,,,,
0,,19,,3327.379638671875,,,,,
0,,39,,2487.574462890625,,,,,
0,,59,,2239.345947265625,,,,,
0,,79,,2331.03369140625,,,,,
0,,96,,,29360.96875,2936096948224.0,30771.83203125,2.0,29360.96875
0,,96,2770.548583984375,,,,,,
,0.000611,97,,,,,,,
1,,99,,2172.38427734375,,,,,
1,,119,,1974.8651123046875,,,,,
1,,139,,2032.7039794921875,,,,,
1,,159,,1886.2095947265625,,,,,
1,,179,,1939.1728515625,,,,,
1,,193,,,28889.400390625,2888940126208.0,30261.025390625,2.0,28889.400390625
1,,193,1959.3089599609375,,,,,,
,0.000611,194,,,,,,,
2,,199,,1847.525146484375,,,,,
2,,219,,1883.0391845703125,,,,,
2,,239,,1718.689208984375,,,,,
2,,259,,1719.6827392578125,,,,,
2,,279,,1663.7911376953125,,,,,
2,,290,,,29353.98046875,2935398072320.0,30774.90234375,2.0,29353.98046875
2,,290,1735.36328125,,,,,,
,0.000611,291,,,,,,,
3,,299,,1677.11376953125,,,,,
3,,319,,1639.2581787109375,,,,,
3,,339,,1514.3555908203125,,,,,
3,,359,,1480.692626953125,,,,,
3,,379,,1503.563232421875,,,,,
3,,387,,,29002.98046875,2900298039296.0,30507.34375,1.9934784173965454,29002.98046875
3,,387,1581.67431640625,,,,,,
,0.000611,388,,,,,,,
4,,399,,1559.78125,,,,,
4,,419,,1493.9359130859375,,,,,
4,,439,,1451.84375,,,,,
4,,459,,1514.4639892578125,,,,,
4,,479,,1457.411376953125,,,,,
4,,484,,,29504.15234375,2950415515648.0,31055.42578125,1.9847825765609741,29504.15234375
4,,484,1477.160400390625,,,,,,
,0.000611,485,,,,,,,
5,,499,,1463.28857421875,,,,,
5,,519,,1426.6953125,,,,,
5,,539,,1349.767333984375,,,,,
5,,559,,1358.3037109375,,,,,
5,,579,,1372.023681640625,,,,,
5,,581,,,29330.51171875,2933051359232.0,30851.724609375,1.9913043975830078,29330.51171875
5,,581,1391.116455078125,,,,,,
,0.0003055,582,,,,,,,
6,,599,,1319.296142578125,,,,,
6,,619,,1297.9669189453125,,,,,
6,,639,,1337.6683349609375,,,,,
6,,659,,1360.3592529296875,,,,,
6,,678,,,29292.14453125,2929214357504.0,30817.60546875,1.9891303777694702,29292.14453125
6,,678,1320.7333984375,,,,,,
,0.0003055,679,,,,,,,
7,,679,,1316.57421875,,,,,
7,,699,,1288.315673828125,,,,,
7,,719,,1288.6119384765625,,,,,
7,,739,,1231.4287109375,,,,,
7,,759,,1277.1873779296875,,,,,
7,,775,,,29185.578125,2918557679616.0,30729.962890625,1.9869563579559326,29185.578125
7,,775,1277.511962890625,,,,,,
,0.0003055,776,,,,,,,
8,,779,,1307.474853515625,,,,,
8,,799,,1192.923095703125,,,,,
8,,819,,1280.658203125,,,,,
8,,839,,1191.0439453125,,,,,
8,,859,,1190.8104248046875,,,,,
8,,872,,,29249.9375,2924993839104.0,30782.73046875,1.9891302585601807,29249.9375
8,,872,1233.998046875,,,,,,
,0.0003055,873,,,,,,,
9,,879,,1237.0966796875,,,,,
9,,899,,1193.755126953125,,,,,
9,,919,,1253.636474609375,,,,,
9,,939,,1216.4346923828125,,,,,
9,,959,,1200.841064453125,,,,,
9,,969,,,29191.443359375,2919144620032.0,30740.734375,1.9847825765609741,29191.443359375
9,,969,1201.7674560546875,,,,,,
